station_id,latitude,longitude,geohash,city,price,availability,demand,connector_type,power_rating_kW,time_of_day,wait_time,num_charging_points,charger_downtime_%,nearby_facilities,renewable_energy_%,ev_type_preference,weather_condition,traffic_congestion,station_type,maintenance_status,user_rating,num_reviews,charging_time_est_min,payment_methods
EVS11,13.004767286048894,77.58324949004688,tdr1vr,Bangalore,18.4,6,25.4,Tesla,150,4,7.1,20,4.72,Rest Area,31.7,Two-Wheelers,Clear,Low,Highway Hub,Under Maintenance,4.5,408,20.0,"RFID, UPI, App Wallet"
EVS12,11.005975373728344,76.99768313797638,t9yy85,Coimbatore,20.44,6,25.4,Tesla,150,11,0.8,11,5.19,Restaurant,56.2,Tesla,Clear,Medium,Highway Hub,Faulty,4.6,163,30.0,"RFID, App Wallet"
EVS13,22.53116084738509,88.35385217316615,tunb4t,Kolkata,17.08,13,31.9,GB/T,150,7,8.3,16,13.96,Rest Area,70.5,All,Storm,Medium,Public Slow,Operational,3.5,107,30.0,"UPI, App Wallet, RFID"
EVS14,19.106605392148335,72.83906008282686,te7u9q,Mumbai,18.5,12,45.3,CCS2,100,23,6.9,10,16.59,Rest Area,65.1,Generic,Cloudy,Low,Private Fleet,Under Maintenance,4.6,268,18.0,"App Wallet, UPI, Card"
EVS15,19.059601034509058,72.91721980063565,te7u7m,Mumbai,5.06,7,45.4,GB/T,100,18,9.8,11,8.92,Gas Station,17.9,Two-Wheelers,Cloudy,High,Public Slow,Under Maintenance,3.9,155,30.0,RFID
EVS16,18.55725821387946,73.89357296888393,tek996,Pune,8.92,10,43.8,CHAdeMO,100,3,4.5,12,9.07,Hotel,98.2,All,Rain,Low,Public Slow,Under Maintenance,4.5,216,30.0,"RFID, Card"
EVS17,12.903264244364436,80.2920250600331,tf317h,Chennai,10.66,15,68.5,GB/T,250,18,0.2,13,12.02,Shopping Mall,76.4,Generic,Clear,Low,Private Fleet,Operational,4.5,302,12.0,"App Wallet, RFID, UPI"
EVS18,12.98600895321922,77.59934142261471,tdr1vu,Bangalore,8.36,11,36.5,CHAdeMO,100,15,8.5,15,16.08,Restaurant,25.9,Tesla,Cloudy,Low,Public Slow,Under Maintenance,4.7,76,45.0,Card
EVS19,10.999508373705838,76.90981665556482,t9yww4,Coimbatore,22.65,11,60.9,CHAdeMO,250,1,0.3,2,11.82,Gas Station,70.4,Tesla,Cloudy,High,Public Fast,Under Maintenance,4.1,268,7.2,"App Wallet, RFID, UPI"
EVS20,22.56001715190399,88.3719323662143,tunb6f,Kolkata,6.55,5,50.4,Type 2 AC,100,0,0.0,14,8.33,Hotel,1.1,Tesla,Rain,Medium,Public Slow,Operational,3.9,161,45.0,"Card, App Wallet"
EVS21,22.621876551503952,88.40333939342132,tunbew,Kolkata,15.28,4,34.4,CHAdeMO,100,14,5.1,15,3.92,Gas Station,87.8,Two-Wheelers,Clear,High,Private Fleet,Operational,4.4,465,18.0,"UPI, RFID, App Wallet"
EVS22,28.601043040991115,77.16607028231603,ttnfey,Delhi,20.69,10,50.3,Tesla,100,19,3.8,9,18.75,Gas Station,60.9,Tesla,Rain,High,Public Fast,Under Maintenance,3.1,49,30.0,"App Wallet, RFID"
EVS23,23.00858375223593,72.53180128339982,ts5dfs,Ahmedabad,5.43,14,52.8,GB/T,150,20,4.7,17,10.38,Gas Station,72.8,Tesla,Rain,High,Highway Hub,Under Maintenance,4.2,426,20.0,"UPI, App Wallet"
EVS24,22.98091715269466,72.58672463858542,ts5dez,Ahmedabad,21.18,5,25.4,CCS2,150,15,3.0,11,17.0,Hotel,89.2,All,Rain,High,Highway Hub,Faulty,4.5,298,20.0,"RFID, UPI"
EVS25,23.067829528374965,72.57101290349452,ts5e5r,Ahmedabad,9.09,5,51.8,CHAdeMO,50,16,6.3,13,12.16,Hotel,81.1,Tesla,Cloudy,Medium,Highway Hub,Under Maintenance,4.7,20,60.0,"UPI, App Wallet"
EVS26,12.910027392859819,80.31162371113253,tf317w,Chennai,15.18,15,65.6,GB/T,150,23,4.9,17,15.62,Shopping Mall,65.0,All,Rain,Medium,Public Slow,Faulty,4.3,103,20.0,"RFID, Card"
EVS27,18.47124866249335,73.85957838908959,tek90d,Pune,16.47,6,53.6,GB/T,100,6,1.8,5,1.64,Restaurant,32.7,Tesla,Cloudy,Low,Public Slow,Operational,3.3,416,45.0,"Card, RFID, UPI"
EVS28,17.385002137321223,78.47796140887954,tepfcu,Hyderabad,15.44,5,54.9,CHAdeMO,250,7,1.6,4,14.24,Restaurant,52.4,Tesla,Rain,Medium,Private Fleet,Operational,3.2,482,18.0,App Wallet
EVS29,12.874841705064993,80.23234151638374,tf311x,Chennai,15.51,4,22.1,CCS2,100,4,9.8,20,0.87,Restaurant,81.9,Generic,Storm,Low,Public Slow,Under Maintenance,3.5,191,30.0,"RFID, App Wallet, Card"
EVS30,26.799735271074418,80.97498765252455,tuc86w,Lucknow,21.49,4,30.8,Type 2 AC,100,4,6.7,2,2.36,Restaurant,18.2,Generic,Rain,Low,Public Slow,Faulty,4.7,276,18.0,"Card, RFID"
EVS31,17.358501135939488,78.51119081889595,tepff8,Hyderabad,24.07,4,38.5,Tesla,100,12,1.1,11,15.47,Rest Area,63.1,Generic,Clear,High,Private Fleet,Under Maintenance,3.1,204,30.0,Card
EVS32,23.032442558672514,72.53851524485975,ts5e48,Ahmedabad,8.33,4,15.5,CHAdeMO,22,22,3.1,20,5.28,Shopping Mall,30.7,Generic,Storm,High,Public Fast,Faulty,3.5,446,81.8,App Wallet
EVS33,26.847739856387545,80.99437993988828,tuc8ep,Lucknow,11.09,15,12.5,GB/T,22,10,4.5,3,6.59,Gas Station,95.7,Tesla,Cloudy,Medium,Public Slow,Under Maintenance,4.6,423,204.5,"App Wallet, RFID"
EVS34,19.06050037025346,72.8828268980171,te7u6m,Mumbai,19.33,12,50.8,Tesla,250,20,1.9,15,14.47,Rest Area,75.8,All,Storm,Medium,Public Fast,Under Maintenance,3.4,463,7.2,UPI
EVS35,11.035165145987515,76.93688776377907,t9ywy8,Coimbatore,5.78,15,41.6,CCS2,250,23,2.0,6,2.05,Hotel,28.9,Generic,Cloudy,Medium,Highway Hub,Under Maintenance,4.4,190,18.0,"Card, RFID, UPI"
EVS36,28.573036290180823,77.24367019301927,ttnft9,Delhi,11.61,8,49.4,Tesla,50,4,4.8,19,13.23,Shopping Mall,8.7,All,Rain,High,Highway Hub,Operational,5.0,473,36.0,"UPI, App Wallet, Card"
EVS37,12.85370466774378,80.24960250992308,tf3145,Chennai,10.68,5,72.7,CCS2,50,19,7.4,10,7.82,Restaurant,14.5,All,Storm,Low,Public Slow,Under Maintenance,4.2,191,90.0,"RFID, UPI"
EVS38,11.016415810779169,76.92752360931645,t9ywwt,Coimbatore,15.81,4,42.0,Type 2 AC,22,13,1.9,3,3.91,Shopping Mall,18.9,All,Rain,Medium,Highway Hub,Operational,4.2,494,204.5,App Wallet
EVS39,26.866657599507448,80.97600159384733,tuc8fd,Lucknow,10.45,1,61.8,GB/T,150,5,4.1,13,19.61,Gas Station,25.1,Generic,Clear,High,Public Slow,Faulty,3.6,124,12.0,"RFID, UPI, App Wallet"
EVS40,12.911056993762298,80.27850965726522,tf316y,Chennai,7.68,15,62.0,Type 2 AC,150,19,3.3,13,13.42,Shopping Mall,56.3,All,Rain,High,Private Fleet,Under Maintenance,4.8,131,30.0,"App Wallet, Card, UPI"
EVS41,22.53336177872008,88.41235395190267,tunb5y,Kolkata,12.9,2,24.2,CHAdeMO,150,14,1.9,7,17.37,Shopping Mall,51.7,Two-Wheelers,Rain,High,Public Slow,Faulty,4.7,390,30.0,"Card, UPI, RFID"
EVS42,19.118042988863557,72.88608390881595,te7uf8,Mumbai,16.33,5,54.0,Type 2 AC,50,0,3.7,13,17.08,Gas Station,78.8,Generic,Cloudy,Medium,Private Fleet,Faulty,4.0,329,36.0,Card
EVS43,12.96230254990909,77.56430058978489,tdr1tp,Bangalore,15.37,8,41.4,Tesla,250,23,0.7,10,19.45,Hotel,43.6,All,Cloudy,Medium,Highway Hub,Under Maintenance,3.3,399,7.2,"Card, UPI"
EVS44,17.409104488917066,78.53632475089825,tepg51,Hyderabad,19.59,14,59.6,CCS2,22,13,5.4,15,18.38,Hotel,15.5,Two-Wheelers,Rain,High,Public Fast,Under Maintenance,4.8,497,136.4,"Card, App Wallet"
EVS45,22.60386083139861,88.33059120633304,tunbd4,Kolkata,21.37,9,36.1,GB/T,50,18,7.0,16,12.78,Shopping Mall,7.6,Generic,Storm,Low,Public Fast,Under Maintenance,5.0,378,36.0,"App Wallet, RFID, Card"
EVS46,12.929001282793072,77.55121485594881,tdr1s9,Bangalore,17.19,5,40.2,CCS2,150,1,6.0,11,16.29,Shopping Mall,70.5,Generic,Rain,Medium,Highway Hub,Under Maintenance,3.0,359,20.0,"UPI, App Wallet"
EVS47,12.899221949491892,80.29274795892921,tf317h,Chennai,20.91,7,52.4,Type 2 AC,50,2,7.3,11,1.28,Shopping Mall,76.3,All,Cloudy,Medium,Public Fast,Under Maintenance,3.3,147,60.0,UPI
EVS48,12.837132133587737,80.30976010694762,tf3152,Chennai,24.28,5,39.6,Type 2 AC,250,23,4.8,11,4.91,Shopping Mall,69.3,Generic,Storm,Low,Public Fast,Operational,4.7,177,18.0,"App Wallet, RFID, UPI"
EVS49,26.883960368951556,80.96872746081625,tuc8fq,Lucknow,10.07,5,36.7,Type 2 AC,22,3,2.1,8,1.11,Restaurant,84.0,Generic,Clear,Low,Public Slow,Faulty,3.8,18,204.5,Card
EVS50,18.566129083424613,73.8565735629944,tek98e,Pune,21.65,0,42.0,CCS2,150,23,11.9,13,1.47,Hotel,94.5,Generic,Storm,Low,Highway Hub,Faulty,3.9,11,12.0,"UPI, RFID"
EVS51,17.432348320996997,78.45444610614956,tepg1m,Hyderabad,24.48,4,43.3,Type 2 AC,150,2,3.0,3,13.9,Restaurant,71.8,Generic,Clear,Medium,Public Slow,Under Maintenance,3.9,394,12.0,"Card, RFID"
EVS52,19.116804079868565,72.85644869060164,te7ucb,Mumbai,13.94,5,23.3,GB/T,250,14,3.1,15,14.38,Rest Area,76.1,All,Clear,High,Public Slow,Operational,4.9,391,18.0,"App Wallet, UPI"
EVS53,13.014842303918526,77.61985658551859,tdr4n3,Bangalore,24.44,4,37.1,Tesla,100,7,3.0,7,14.11,Hotel,40.0,All,Clear,High,Highway Hub,Operational,3.7,3,18.0,"App Wallet, Card"
EVS54,13.006736884086816,77.55102969038975,tdr1ux,Bangalore,20.55,14,26.5,GB/T,250,4,7.2,14,3.62,Hotel,34.5,Generic,Clear,Low,Public Fast,Faulty,4.9,434,18.0,"Card, App Wallet, RFID"
EVS55,12.87723322569913,80.25830019445893,tf3162,Chennai,17.63,6,35.0,GB/T,50,4,6.5,3,8.24,Hotel,84.1,Tesla,Cloudy,Low,Public Fast,Operational,4.3,362,90.0,"App Wallet, RFID, UPI"
EVS56,17.42382888086563,78.44516854429325,tepg15,Hyderabad,6.86,0,30.1,GB/T,100,15,43.7,5,0.51,Shopping Mall,70.8,Two-Wheelers,Cloudy,Low,Private Fleet,Under Maintenance,4.1,259,30.0,App Wallet
EVS57,12.98769293658625,77.61640082175988,tdr1yh,Bangalore,18.62,4,60.2,CCS2,22,5,1.5,11,14.43,Gas Station,1.8,Generic,Rain,Medium,Public Fast,Operational,4.7,295,81.8,"Card, UPI, App Wallet"
EVS58,12.93407509956677,77.5655060501402,tdr1t4,Bangalore,14.74,8,34.8,CHAdeMO,22,4,8.3,11,16.84,Hotel,71.7,All,Cloudy,Low,Private Fleet,Under Maintenance,3.3,486,204.5,App Wallet
EVS59,23.065468361372893,72.54035819411509,ts5e4w,Ahmedabad,24.15,15,79.6,Type 2 AC,250,7,1.9,13,5.05,Hotel,70.3,Generic,Clear,Medium,Private Fleet,Faulty,4.5,58,18.0,"Card, RFID, App Wallet"
EVS60,18.478614764092253,73.9042717142466,tek91e,Pune,6.5,15,72.7,GB/T,50,19,9.2,15,15.21,Hotel,30.0,Generic,Cloudy,Medium,Public Fast,Operational,4.7,340,36.0,UPI
EVS61,18.487745346254087,73.88432673173126,tek91m,Pune,9.09,2,37.8,Type 2 AC,250,19,3.5,6,19.34,Restaurant,54.4,Tesla,Clear,Medium,Public Fast,Operational,4.9,183,18.0,"Card, RFID"
EVS62,12.846868451829751,80.2694856658171,tf314d,Chennai,6.33,0,48.1,GB/T,22,19,35.5,16,17.03,Hotel,33.7,Two-Wheelers,Clear,Low,Public Slow,Faulty,3.0,317,136.4,UPI
EVS63,28.6561844885331,77.21516451440444,ttngj0,Delhi,23.53,15,40.2,Type 2 AC,100,17,7.9,15,19.87,Gas Station,54.3,Generic,Rain,High,Private Fleet,Under Maintenance,4.4,144,18.0,"Card, UPI, App Wallet"
EVS64,28.621242712384525,77.25045146870366,ttnfvf,Delhi,11.24,4,32.1,GB/T,50,11,1.6,16,12.56,Restaurant,64.8,All,Storm,High,Private Fleet,Faulty,4.9,107,90.0,"UPI, RFID"
EVS65,19.102305507269353,72.85013661475303,te7u9t,Mumbai,15.41,0,60.2,Type 2 AC,150,15,19.2,14,19.1,Restaurant,32.9,Two-Wheelers,Clear,High,Public Fast,Under Maintenance,3.5,51,12.0,"App Wallet, Card"
EVS66,28.590644966524803,77.21661856348788,ttnfth,Delhi,15.53,6,20.5,CHAdeMO,250,17,10.0,17,18.11,Restaurant,19.2,All,Storm,Medium,Public Slow,Faulty,4.4,204,18.0,"UPI, Card"
EVS67,17.382981170408748,78.48139116988847,tepfcu,Hyderabad,14.05,15,49.1,Type 2 AC,250,3,9.2,7,16.02,Hotel,88.6,Two-Wheelers,Clear,Medium,Public Fast,Under Maintenance,4.7,162,12.0,"RFID, Card, UPI"
EVS68,22.60358704971826,88.37928290610758,tunbe4,Kolkata,13.67,4,47.6,CCS2,150,20,5.3,10,15.42,Hotel,30.0,All,Cloudy,Medium,Public Slow,Under Maintenance,3.7,260,20.0,"RFID, UPI"
EVS69,12.994855598448767,77.57885180464403,tdr1vm,Bangalore,17.78,14,27.3,CHAdeMO,50,5,5.6,19,1.33,Hotel,99.5,Generic,Clear,Medium,Private Fleet,Faulty,3.1,85,90.0,"Card, App Wallet"
EVS70,23.01928542815762,72.62137389664828,ts5duw,Ahmedabad,20.87,7,54.9,Type 2 AC,50,7,9.5,4,11.25,Rest Area,97.0,Two-Wheelers,Storm,High,Private Fleet,Under Maintenance,3.8,202,90.0,Card
EVS71,23.036182426521496,72.60966782338859,ts5eh3,Ahmedabad,16.55,14,25.6,CHAdeMO,250,22,3.6,5,4.01,Shopping Mall,80.7,Tesla,Clear,High,Private Fleet,Under Maintenance,4.8,114,7.2,Card
EVS72,12.962570692770203,77.56056754254817,tdr1sz,Bangalore,15.84,13,99.6,CHAdeMO,250,9,8.9,9,16.28,Rest Area,35.1,Generic,Clear,High,Public Fast,Faulty,3.2,425,18.0,"RFID, Card"
EVS73,17.432259887524623,78.5060828343734,tepg4m,Hyderabad,8.04,14,35.1,CCS2,100,12,2.6,12,19.51,Rest Area,31.2,Tesla,Clear,High,Public Slow,Faulty,4.3,487,30.0,"App Wallet, UPI"
EVS74,18.519719934868768,73.89681698427876,tek93e,Pune,14.04,7,13.7,Type 2 AC,100,17,4.7,6,17.3,Shopping Mall,0.1,Generic,Rain,High,Private Fleet,Faulty,4.7,410,18.0,RFID
EVS75,19.09048390420578,72.91821937241244,te7ue7,Mumbai,11.25,13,35.0,GB/T,50,19,4.4,7,12.16,Hotel,37.2,Tesla,Clear,Medium,Highway Hub,Operational,4.1,59,90.0,RFID
EVS76,18.5170538864091,73.87268281835321,tek934,Pune,17.78,3,44.6,CCS2,22,2,8.3,19,5.19,Hotel,67.0,All,Rain,High,Public Fast,Under Maintenance,4.1,500,136.4,Card
EVS77,12.948055899071386,77.62844501015265,tdr1wm,Bangalore,22.42,5,35.3,Type 2 AC,100,2,8.1,4,8.43,Rest Area,68.9,Generic,Rain,High,Highway Hub,Operational,4.5,465,30.0,"Card, UPI, App Wallet"
EVS78,26.86209929499862,80.92828403271845,tuc8cd,Lucknow,22.92,1,76.6,Type 2 AC,100,18,0.6,8,2.25,Shopping Mall,98.1,All,Rain,Low,Public Slow,Faulty,4.3,236,45.0,Card
EVS79,19.080875734930004,72.90680978043606,te7ue1,Mumbai,7.08,1,31.0,CHAdeMO,50,14,1.3,16,9.37,Rest Area,43.4,Generic,Clear,Medium,Public Fast,Faulty,4.9,400,90.0,"Card, App Wallet"
EVS80,28.567884737054634,77.1806136464556,ttnfs2,Delhi,16.52,11,42.2,Tesla,150,5,4.8,6,14.54,Gas Station,52.6,Tesla,Rain,Low,Public Slow,Faulty,4.4,206,12.0,"App Wallet, Card"
EVS81,22.57522435634362,88.36775894956502,tunb6v,Kolkata,8.21,7,47.7,CHAdeMO,50,19,5.6,10,19.41,Shopping Mall,62.2,Generic,Clear,Low,Highway Hub,Faulty,4.3,369,36.0,"Card, App Wallet"
EVS82,12.884192967007477,80.23074451498033,tf3139,Chennai,12.52,3,28.9,Tesla,22,0,0.7,8,19.09,Restaurant,25.4,Generic,Cloudy,Medium,Private Fleet,Under Maintenance,4.2,160,136.4,"App Wallet, UPI"
EVS83,22.55197343182341,88.39106500630088,tunb73,Kolkata,8.54,15,55.9,Tesla,50,4,3.7,11,3.88,Hotel,95.1,All,Storm,High,Highway Hub,Under Maintenance,3.9,462,90.0,"Card, UPI, App Wallet"
EVS84,12.929679662812157,80.25601991658395,tf31d3,Chennai,7.83,4,31.9,CCS2,22,21,8.2,13,7.54,Shopping Mall,93.6,Tesla,Clear,Medium,Private Fleet,Faulty,3.1,78,204.5,"App Wallet, Card"
EVS85,28.64315993226569,77.24783458969597,ttnfvy,Delhi,12.29,4,22.8,CHAdeMO,250,9,2.7,7,12.16,Shopping Mall,86.5,Generic,Storm,Medium,Private Fleet,Faulty,4.7,145,18.0,"Card, RFID"
EVS86,18.503160311579013,73.9027411211385,tek938,Pune,20.37,15,59.5,GB/T,250,6,0.1,10,15.94,Hotel,20.5,Generic,Cloudy,Medium,Private Fleet,Under Maintenance,4.2,5,12.0,"Card, UPI"
EVS87,19.02959167371174,72.91033068050326,te7u70,Mumbai,5.99,5,31.3,CCS2,50,22,3.9,6,15.13,Shopping Mall,54.3,Generic,Clear,Medium,Highway Hub,Operational,4.5,204,90.0,"UPI, App Wallet"
EVS88,22.578323096788594,88.38515984733,tunb7q,Kolkata,24.02,14,43.4,Tesla,50,17,5.0,7,19.35,Restaurant,54.4,Generic,Clear,High,Public Slow,Operational,4.9,59,36.0,App Wallet
EVS89,12.94875066188731,77.59067416574588,tdr1tt,Bangalore,20.07,0,73.7,Tesla,22,12,35.1,17,2.48,Hotel,36.0,All,Clear,High,Public Slow,Under Maintenance,4.9,484,204.5,"App Wallet, Card, RFID"
EVS90,18.520000305745008,73.8074010233044,tek3re,Pune,19.56,13,31.2,Type 2 AC,250,21,1.2,8,19.84,Rest Area,33.0,Two-Wheelers,Clear,Low,Public Slow,Under Maintenance,4.0,239,18.0,"Card, UPI, App Wallet"
EVS91,17.406947402956543,78.51825700359684,tepg48,Hyderabad,9.79,0,28.2,Type 2 AC,100,0,8.0,16,11.51,Shopping Mall,13.9,All,Cloudy,Low,Private Fleet,Under Maintenance,3.9,44,45.0,"App Wallet, Card"
EVS92,28.660729837737346,77.21873280321526,ttngj1,Delhi,24.79,2,50.7,Tesla,22,8,9.2,16,19.32,Restaurant,5.5,Generic,Rain,Medium,Private Fleet,Under Maintenance,3.0,345,81.8,UPI
EVS93,17.367974709612078,78.4444833753787,tepfc1,Hyderabad,23.2,8,31.2,Type 2 AC,250,18,9.0,14,9.76,Restaurant,46.1,Two-Wheelers,Clear,Low,Public Slow,Faulty,4.7,31,7.2,"RFID, UPI, App Wallet"
EVS94,23.049023558247438,72.54291933660247,ts5e4g,Ahmedabad,17.91,0,19.9,CCS2,100,22,42.4,14,2.62,Rest Area,63.2,All,Clear,High,Highway Hub,Faulty,3.9,110,18.0,"RFID, UPI, Card"
EVS95,12.973458279378152,77.59087808695945,tdr1v9,Bangalore,18.55,8,46.9,Type 2 AC,250,5,9.4,2,9.2,Hotel,21.8,Tesla,Rain,Low,Private Fleet,Operational,4.9,447,12.0,"RFID, UPI"
EVS96,22.991976658008454,72.54705378778814,ts5dfc,Ahmedabad,11.24,8,61.4,CHAdeMO,100,20,0.5,20,15.15,Shopping Mall,55.0,Generic,Rain,Medium,Public Slow,Faulty,3.9,222,30.0,UPI
EVS97,28.6594125454995,77.17073582850671,ttngh1,Delhi,14.4,11,43.7,Tesla,100,15,7.8,16,16.2,Gas Station,43.7,All,Clear,Low,Public Fast,Operational,4.7,342,45.0,"Card, UPI, App Wallet"
EVS98,28.62429759379914,77.19334006950605,ttnfud,Delhi,10.74,8,52.4,CCS2,50,9,1.9,7,14.98,Shopping Mall,72.6,Tesla,Storm,Medium,Highway Hub,Operational,4.1,169,60.0,UPI
EVS99,28.60163699528025,77.22669258740278,ttnftq,Delhi,23.74,4,21.1,CHAdeMO,150,21,5.4,6,15.7,Rest Area,49.9,Two-Wheelers,Cloudy,Medium,Private Fleet,Operational,4.3,46,20.0,"UPI, RFID, Card"
EVS100,12.998293971943298,77.60630824870192,tdr1vy,Bangalore,10.12,9,54.2,GB/T,100,15,1.7,9,3.63,Hotel,90.2,Two-Wheelers,Clear,Low,Highway Hub,Operational,3.5,167,45.0,"RFID, App Wallet"
EVS101,19.11828061055769,72.90337144279223,te7ufb,Mumbai,11.26,4,33.7,Tesla,250,6,1.0,11,16.65,Gas Station,80.4,Tesla,Rain,High,Private Fleet,Operational,3.0,210,12.0,App Wallet
EVS102,12.952391156734459,77.6160738960342,tdr1wj,Bangalore,18.74,6,41.9,CHAdeMO,50,20,1.1,17,8.11,Gas Station,41.6,Two-Wheelers,Rain,Medium,Public Fast,Faulty,4.2,325,36.0,App Wallet
EVS103,18.500798562388322,73.89765336457846,tek91x,Pune,17.13,12,18.1,CHAdeMO,150,8,2.2,6,0.86,Gas Station,73.4,Tesla,Storm,Low,Highway Hub,Faulty,3.1,330,20.0,"RFID, App Wallet, UPI"
EVS104,13.020725224253695,77.61776992982273,tdr4n4,Bangalore,6.97,3,65.3,CHAdeMO,100,19,0.8,15,3.19,Rest Area,35.9,Tesla,Cloudy,Medium,Public Fast,Faulty,3.0,154,18.0,"RFID, UPI"
EVS105,23.052855242049013,72.52583491955873,ts5e4k,Ahmedabad,22.78,11,51.4,Tesla,150,13,2.2,5,2.85,Gas Station,2.2,Tesla,Storm,Low,Public Slow,Operational,4.6,91,12.0,UPI
EVS106,26.853451882751724,80.92423972244951,tuc8c2,Lucknow,14.22,4,21.0,Tesla,50,3,4.1,12,1.07,Rest Area,78.0,Tesla,Rain,High,Highway Hub,Faulty,4.9,484,90.0,Card
EVS107,17.412839147850015,78.49793190811775,tepg43,Hyderabad,22.63,3,7.8,CHAdeMO,22,20,3.7,2,4.09,Hotel,98.7,Tesla,Clear,Medium,Highway Hub,Under Maintenance,3.2,486,81.8,RFID
EVS108,17.41229053657858,78.46032052276763,tepg13,Hyderabad,9.9,13,66.5,Type 2 AC,22,6,2.3,10,19.24,Hotel,58.8,Two-Wheelers,Rain,High,Public Slow,Faulty,4.3,400,81.8,UPI
EVS109,19.090859065511445,72.90106853035492,te7udg,Mumbai,11.91,8,40.0,CHAdeMO,150,16,3.0,6,19.97,Restaurant,0.0,Generic,Cloudy,Medium,Public Fast,Faulty,3.1,183,20.0,"Card, App Wallet"
EVS110,18.530848922020397,73.88738686409728,tek93m,Pune,5.58,7,37.8,CCS2,250,4,9.4,10,13.89,Rest Area,62.7,Generic,Storm,High,Private Fleet,Under Maintenance,4.4,444,7.2,"App Wallet, RFID"
EVS111,26.87650751138447,80.96283902417554,tuc8fk,Lucknow,14.86,0,35.3,Tesla,250,12,44.0,2,17.33,Restaurant,29.3,Generic,Clear,Medium,Highway Hub,Faulty,4.3,444,18.0,"App Wallet, RFID, UPI"
EVS112,26.81124375546946,80.93444746205164,tuc898,Lucknow,5.08,4,85.4,Type 2 AC,22,10,4.9,16,18.26,Shopping Mall,70.9,Generic,Rain,Low,Public Fast,Faulty,3.3,480,81.8,"RFID, Card, UPI"
EVS113,12.838159124795085,80.28534824820485,tf314c,Chennai,23.03,3,69.3,CHAdeMO,50,21,8.6,14,9.39,Hotel,55.5,Two-Wheelers,Storm,Medium,Private Fleet,Operational,3.4,7,36.0,"Card, App Wallet, UPI"
EVS114,12.967038965349014,77.63653617107842,tdr1y8,Bangalore,13.27,2,40.2,CCS2,100,20,7.0,4,18.83,Gas Station,39.6,All,Cloudy,Medium,Highway Hub,Under Maintenance,3.8,401,30.0,"RFID, UPI"
EVS115,28.63455253054019,77.19792159106085,ttnfus,Delhi,22.4,15,34.5,CHAdeMO,150,11,1.0,15,10.69,Rest Area,86.0,Tesla,Rain,Medium,Private Fleet,Faulty,4.8,389,30.0,"UPI, RFID, App Wallet"
EVS116,19.103126081829906,72.85255510272428,te7u9v,Mumbai,10.33,1,32.9,Tesla,50,6,2.3,13,2.39,Restaurant,5.0,Tesla,Clear,Medium,Public Slow,Under Maintenance,4.7,249,60.0,"UPI, Card"
